category,Stack No.,period,variable,unit,Sampling,value
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Nov,Dust Emission rate,kg/hr,2020-08-20,0.416724
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Nov,Operation Hour,hr,2020-08-20,720.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Nov,Dust Emission,kg,2020-08-20,300.04128
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Dec,Stack Temperature,๐C,2020-08-20,121.5
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Dec,%Oxygen,%,2020-08-20,0.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Dec,Gas Velocity,m/s,2020-08-20,0.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Dec,Flow rate,m3/min,2020-08-20,154.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Dec,Dust Emission Actual O2,mg/m3,2020-08-20,45.1
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Dec,Dust Emission rate,kg/hr,2020-08-20,0.416724
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Dec,Operation Hour,hr,2020-08-20,744.0
Dust,"Biscuit Kiln Exhaust Stack 1, 2",Dec,Dust Emission,kg,2020-08-20,310.042656
Dust,"Biscuit Kiln Exhaust Stack 3, 4",Jan,Diameter,m,2019-12-02,0.8
Dust,"Biscuit Kiln Exhaust Stack 3, 4",Jan,Stack Temperature,๐C,2019-12-02,159.1
Dust,"Biscuit Kiln Exhaust Stack 3, 4",Jan,%Oxygen,%,2019-12-02,0.0
Dust,"Biscuit Kiln Exhaust Stack 3, 4",Jan,Gas Velocity,m/s,2019-12-02,0.0
Dust,"Biscuit Kiln Exhaust Stack 3, 4",Jan,Flow rate,m3/min,2019-12-02,188.3333333
Dust,"Biscuit Kiln Exhaust Stack 3, 4",Jan,Dust Emission Actual O2,mg/m3,2019-12-02,53.0
Dust,"Biscuit Kiln Exhaust Stack 3, 4",Jan,Dust Emission rate,kg/hr,2019-12-02,0.5989
Dust,"Biscuit Kiln Exhaust Stack 3, 4",Jan,Operation Hour,hr,2019-12-02,416.0
